arm_of_study,config_slug,n_success,n_trials,success_disp,time_mean,time_lo,time_hi,tokens_mean,tokens_lo,tokens_hi,cost_mean,cost_lo,cost_hi,time_disp,tokens_disp,cost_disp,note
"GPT-5.6 Terra, empty experience",terra_empty_experience,1,5,1/5,18.992,18.992,18.992,6282.276,6282.276,6282.276,1.9752,1.9752,1.9752,"19.0 [19.0, 19.0]","6282 [6282, 6282]","1.98 [1.98, 1.98]","The GPT-5.6 Terra row of Table 2. One of five trials succeeded, so the mean is that single trial."
"GPT-5.6 Terra, reading a frozen GPT-6 Astra experience store",terra_with_experience,4,5,4/5,12.469011375308037,10.073740633328756,16.888879883289338,5563.188,4814.171,5865.428,1.6429595,1.5620751999999998,1.7411283999999996,"12.5 [10.1, 16.9]","5563 [4814, 5865]","1.64 [1.56, 1.74]","Collection completed 11 September 2026, after the preprint snapshot. The store is read-only and identical for every trial."
"GPT-6 Astra, building the experience store",astra_experience_store,5,5,5/5,7.60419349749883,6.493454166253408,9.083703001340231,2495.4306,2240.463,2826.784,3.7938131999999998,3.449366,4.385104,"7.6 [6.5, 9.1]","2495 [2240, 2827]","3.79 [3.45, 4.39]","The five runs that produced the store the smaller model then read. Shown for context, not as the comparison."
