cycle,outcome,task_s,handoff_s,experience_writing_s,total_s,motion_command_wait_s,motion_calls,capture_calls,failed_stage_attempts,unsuccessful_commands,speedup_vs_cycle_1
1,success,870.271905177,0.0,119.406539067,989.678444244,127.23411822900002,37,37,1,5,1.0
2,success,408.816117445,170.163410545,114.133164446,693.112692436,91.56023382099998,32,34,0,0,1.4278752287246335
3,success,372.287775547,33.262342875,117.566312936,523.116431358,92.51215203499999,32,33,0,2,1.8918894244533941
4,success,372.232226496,45.898124451,112.204827895,530.335178842,92.724599484,32,34,0,0,1.8661376497877955
5,success,393.203854525,28.992295289,68.518189632,490.714339446,91.67675513200001,32,33,0,0,2.0168117470569817
