harness,model,effort,config_slug,n_success,n_trials,success_disp,n_accounted,time_mean,time_lo,time_hi,tokens_mean,tokens_lo,tokens_hi,cost_mean,cost_lo,cost_hi,time_disp,tokens_disp,cost_disp
Codex CLI,GPT-6 Astra,low,gpt6_astra_low,5,5,5/5,5,9.9438,6.034,19.007,3688.9182,1438.472,7720.409,4.78754,2.1541,9.5623,"9.9 [6.0, 19.0]","3689 [1438, 7720]","4.79 [2.15, 9.56]"
Codex CLI,GPT-6 Astra,medium,gpt6_astra_medium,5,5,5/5,5,9.1592,6.327,15.441,3024.5986,1842.494,5800.821,4.09162,2.7566,7.4837,"9.2 [6.3, 15.4]","3025 [1842, 5801]","4.09 [2.76, 7.48]"
Codex CLI,GPT-6 Astra,high,gpt6_astra_high,5,5,5/5,5,9.2236,7.924,10.61,3299.6104,2584.488,4024.108,4.46562,3.7162,5.1898,"9.2 [7.9, 10.6]","3300 [2584, 4024]","4.47 [3.72, 5.19]"
Codex CLI,GPT-5.6 Sol,high,gpt56_sol,5,5,5/5,5,14.2496,9.062,19.263,7127.9016,4118.059,9717.873,3.9379399999999998,2.3967,5.2999,"14.2 [9.1, 19.3]","7128 [4118, 9718]","3.94 [2.40, 5.30]"
Codex CLI,GPT-5.6 Terra,high,gpt56_terra,1,5,1/5,1,18.992,18.992,18.992,6282.276,6282.276,6282.276,1.9752,1.9752,1.9752,"19.0 [19.0, 19.0]","6282 [6282, 6282]","1.98 [1.98, 1.98]"
Codex CLI,GPT-5.6 Luna,high,gpt56_luna,0,5,0/5,0,,,,,,,,,,--,--,--
Claude Code,Claude Opus 5,high,claude_opus5,5,5,5/5,5,22.1954,14.397,31.896,12397.994999999999,9050.08,16724.851,9.74864,6.9425,13.0254,"22.2 [14.4, 31.9]","12398 [9050, 16725]","9.75 [6.94, 13.03]"
Claude Code,Claude Fable 5.1,high,claude_fable51,3,5,3/5,3,27.74848888847563,18.306983331839245,39.7659166653951,9265.500333333333,6874.008,11100.493,11.296290166666665,8.329646249999998,14.358745749999999,"27.7 [18.3, 39.8]","9266 [6874, 11100]","11.30 [8.33, 14.36]"
