cycle,task_s,experience_writing_s,total_s,other_s,motion_command_wait_s,motion_calls,capture_calls,session_stamp
1,471.0,81.213156,559.0,6.786844000000002,134.3,26,27,20260910_213555
2,387.0,66.01625,469.0,15.98375,144.1,24,25,20260910_214707
3,408.0,53.276729,469.0,7.723270999999997,137.9,23,24,20260910_221517
4,425.0,59.254115,498.0,13.745885000000001,131.3,23,24,20260910_222357
5,475.0,48.7075,529.0,5.292499999999997,128.9,23,24,20260910_223309
