task_family,config,config_slug,n_success,n_trials,success_disp,time_mean,time_lo,time_hi,tokens_mean,tokens_lo,tokens_hi,cost_mean,cost_lo,cost_hi,time_disp,tokens_disp,cost_disp
Four pair assembly,Four pair assembly,four_pair_assembly,4,5,4/5,54.257593191663425,38.58625000317891,78.22697273492813,22255.4005,12837.668,42987.676,27.411705,16.919216,49.878024,"54.3 [38.6, 78.2]","22255 [12838, 42988]","27.41 [16.92, 49.88]"
Block construction,Pyramid,pyramid,5,5,5/5,22.814466483592987,14.869348764419556,32.2486336350441,9068.665799999999,6266.921,12936.551,11.55837,8.00785,15.279698,"22.8 [14.9, 32.2]","9069 [6267, 12937]","11.56 [8.01, 15.28]"
Block construction,Two towers,two_towers,5,5,5/5,21.38902973651886,14.756527582804361,29.151611085732778,8331.7946,4944.141,14389.627,10.277714,6.273978,16.850102,"21.4 [14.8, 29.2]","8332 [4944, 14390]","10.28 [6.27, 16.85]"
Block construction,Six block tower,six_block_tower,4,5,4/5,34.691972171266876,17.26916253566742,54.96599028110504,13111.468499999999,5086.498,19846.386,17.346841,6.69454,26.779332,"34.7 [17.3, 55.0]","13111 [5086, 19846]","17.35 [6.69, 26.78]"
Die flipping,Die flipping,die_flipping,5,5,5/5,42.85266801993052,22.608984430631,56.013102400302884,18460.4896,10158.462,24999.998,22.5183312,12.567972,31.201572,"42.9 [22.6, 56.0]","18460 [10158, 25000]","22.52 [12.57, 31.20]"
Targeted throwing,Potato,targeted_throwing_potato,2,2,2/2,22.75082002480825,22.224342548847197,23.277297500769297,6255.9395,6254.389,6257.49,8.942667,8.706394,9.17894,"22.8 [22.2, 23.3]","6256 [6254, 6257]","8.94 [8.71, 9.18]"
Towel folding,Sequential,towel_sequential,5,5,5/5,50.81070434649785,33.791317733128864,63.32190876801808,18122.979,10125.607,25262.073,24.143334,14.158174,30.901466,"50.8 [33.8, 63.3]","18123 [10126, 25262]","24.14 [14.16, 30.90]"
Towel folding,Simultaneous,towel_simultaneous,3,5,3/5,21.428855000601875,15.661139166355133,31.208451950550078,5055.431,4269.727,5683.838,7.4561020000000005,6.156566,8.668748,"21.4 [15.7, 31.2]","5055 [4270, 5684]","7.46 [6.16, 8.67]"
